2021-02-01 16:57:37 [ INFO ] [ SpringApplication.java :659(logStartupProfileInfo)]  No active profile set, falling back to default profiles: default
2021-02-01 16:57:43 [ INFO ] [ PropertySourcedRequestMappingHandlerMapping.java :69(initHandlerMethods)]  Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
2021-02-01 16:57:44 [ WARN ] [ FreeMarkerAutoConfiguration.java :70(checkTemplateLocationExists)]  Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false)
2021-02-01 16:57:46 [ INFO ] [ StartupInfoLogger.java :59(logStarted)]  Started GridFsTest in 12.376 seconds (JVM running for 14.673)
2021-02-01 16:58:28 [ INFO ] [ SpringApplication.java :659(logStartupProfileInfo)]  No active profile set, falling back to default profiles: default
2021-02-01 16:58:34 [ INFO ] [ PropertySourcedRequestMappingHandlerMapping.java :69(initHandlerMethods)]  Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
2021-02-01 16:58:35 [ WARN ] [ FreeMarkerAutoConfiguration.java :70(checkTemplateLocationExists)]  Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false)
2021-02-01 16:58:37 [ INFO ] [ StartupInfoLogger.java :59(logStarted)]  Started GridFsTest in 11.603 seconds (JVM running for 13.441)
2021-02-01 17:27:58 [ INFO ] [ SpringApplication.java :659(logStartupProfileInfo)]  No active profile set, falling back to default profiles: default
2021-02-01 17:28:03 [ INFO ] [ PropertySourcedRequestMappingHandlerMapping.java :69(initHandlerMethods)]  Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
2021-02-01 17:28:05 [ WARN ] [ FreeMarkerAutoConfiguration.java :70(checkTemplateLocationExists)]  Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false)
2021-02-01 17:28:06 [ INFO ] [ StartupInfoLogger.java :59(logStarted)]  Started CmsPageTest in 12.482 seconds (JVM running for 14.559)
2021-02-01 17:28:26 [ INFO ] [ SpringApplication.java :659(logStartupProfileInfo)]  No active profile set, falling back to default profiles: default
2021-02-01 17:28:32 [ INFO ] [ PropertySourcedRequestMappingHandlerMapping.java :69(initHandlerMethods)]  Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
2021-02-01 17:28:33 [ WARN ] [ FreeMarkerAutoConfiguration.java :70(checkTemplateLocationExists)]  Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false)
2021-02-01 17:28:35 [ INFO ] [ StartupInfoLogger.java :59(logStarted)]  Started CmsPageTest in 12.526 seconds (JVM running for 14.482)
